,Z_res,X_res,Y_res,num_Zs,num_Xs,num_Ys,num_channels,path,condition,sigma_noise,pixel_sum,pixel_mean,pixel_max,pixel_min,folder,year,n_czi_files,acquired_by,cell_type,sex
29,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 10.czi,aged,4.75297802388375,199777361,11.2072081285364,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
30,0.440813408547905,0.0131788225549815,0.0131788225549815,21,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 11.czi,aged,5.6774940403643,383449332,17.4136085510254,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
31,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 12.czi,aged,5.20398717401733,219737219,12.3269260069903,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
32,0.440813408547905,0.0131788225549815,0.0131788225549815,15,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 13.czi,aged,4.78061272721962,193297698,12.2895366668701,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
33,0.440813408547905,0.0131788225549815,0.0131788225549815,19,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 14.czi,aged,4.63218017465805,211034662,10.5925440537302,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
34,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 15.czi,aged,5.00093203361646,221086546,12.4026212131276,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
35,0.440813408547905,0.0131788225549815,0.0131788225549815,16,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 16.czi,aged,5.08079798922003,213226582,12.7092946767807,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
36,0.440813408547905,0.0131788225549815,0.0131788225549815,19,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 17.czi,aged,4.87522182459818,231203667,11.6048946882549,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
37,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 18.czi,aged,5.12296776977821,223073102,12.5140640034395,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
38,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20200207PlaminOld slide2exp200122/Image 19.czi,aged,4.84928638765258,217282820,12.1892379311954,255,0,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
